ICAO,Manufacturer,Type,Year_of_first_flight,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_do,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,FL_max,MMO,pi_max_pa,pinf_co_pa
A30B,Airbus,A300B4-200,1973,2,no,6,165000,134000,124000,88505,35495,0.752,0.536,0.215,260,44.83,5.64,0.032,0.8829,7.73,8.774,1.02,0.72,0.868,0.073,0.535,4.299,466.2,4.8,0.4,0.753,0.0339,0.318,0.545,0.674,4.945,390,0.82,20883,37618
A306,Airbus,A300B4-600R,1983,2,no,0,170500,140000,130000,86220,43780,0.762,0.506,0.257,260,44.84,5.64,0.032,0.8829,7.73,7.804,1.015,0.721,0.871,0.076,0.519,5.328,524.9,5.08,0.42,0.753,0.0307,0.366,0.538,0.683,4.965,410,0.82,20883,37618
A310,Airbus,A310-200,1982,2,no,8,138600,122000,112000,79207,32793,0.808,0.571,0.237,219,43.89,5.64,0.033,0.8829,8.8,8.376,1.014,0.744,0.869,0.073,0.558,5.703,443.5,4.29,0.38,0.772,0.0329,0.387,0.536,0.686,5.195,410,0.84,21866,37237
A313,Airbus,A310-300,1982,2,no,0,150000,123000,113000,77397,35603,0.753,0.516,0.237,219,43.89,5.64,0.033,0.8829,8.8,8.213,1.01,0.746,0.869,0.074,0.55,5.656,480.3,4.51,0.39,0.772,0.0319,0.376,0.537,0.684,4.926,410,0.84,21866,37237
A318,Airbus,A318-100,2002,2,no,5,68000,57500,53000,38818,14182,0.779,0.571,0.209,122.4,34.1,3.95,0.027,0.9063,9.5,7.471,0.995,0.754,0.871,0.075,0.564,5.332,199.3,2.06,0.21,0.753,0.0309,0.34,0.532,0.689,6.117,410,0.82,20883,37618
A319,Airbus,A319-100,1995,2,no,6,73500,62500,58500,39725,18775,0.796,0.54,0.255,122.4,34.1,3.95,0.027,0.9063,9.5,7.701,0.995,0.755,0.871,0.075,0.569,5.062,212.5,1.99,0.21,0.753,0.0316,0.326,0.522,0.701,5.877,410,0.82,20883,37618
A320,Airbus,A320-200,1987,2,no,0,73500,64500,60500,41244,19256,0.823,0.561,0.262,122.4,34.1,3.95,0.027,0.9063,9.5,8.395,1.007,0.75,0.869,0.073,0.59,5.053,224.6,2.15,0.22,0.753,0.0347,0.344,0.522,0.701,5.706,410,0.82,20883,37618
A321,Airbus,A321-100,1993,2,no,8,89000,75500,71500,46856,24644,0.803,0.526,0.277,122.4,34.15,3.95,0.027,0.9063,9.53,8.631,1.009,0.748,0.869,0.073,0.591,5.019,269.3,2.69,0.25,0.753,0.0347,0.342,0.528,0.694,5.433,391,0.82,20883,37618
A332,Airbus,A330-200,1992,2,no,52,233000,182000,170000,116840,53160,0.73,0.501,0.228,361.6,60.3,5.64,0.017,0.8686,10.06,6.692,0.987,0.762,0.872,0.076,0.528,6.899,609.5,5.94,0.49,0.786,0.025,0.371,0.535,0.686,5.404,410,0.86,22875,36865
A333,Airbus,A330-300,1992,2,no,52,233000,187000,175000,120132,54868,0.751,0.516,0.235,361.6,60.3,5.64,0.017,0.8686,10.06,6.9,0.99,0.761,0.872,0.076,0.535,6.571,604.5,5.84,0.49,0.786,0.0258,0.36,0.534,0.687,5.511,410,0.86,22875,36865
A338,Airbus,A330-800,2018,2,no,800,242000,186000,174000,132000,42000,0.719,0.545,0.174,374,64.00,5.64,0.016,0.8660,10.95,6.213,0.959,0.781,0.874,0.078,0.530,8.292,656,4.96,0.48,0.786,0.0229,0.399,0.445,0.763,6.243,414.5,0.86,22875,36865
A339,Airbus,A330-900,2017,2,no,900,242000,191000,181000,135000,46000,0.748,0.558,0.190,374,64.00,5.64,0.016,0.8660,10.95,6.463,0.962,0.779,0.873,0.077,0.539,8.129,656,4.96,0.48,0.786,0.0239,0.401,0.445,0.763,6.229,414.5,0.86,22875,36865
A342,Airbus,A340-200,1991,4,no,1,257000,181000,169000,125242,43758,0.658,0.487,0.17,361.6,60.3,5.64,0.017,0.8686,10.06,7.077,0.982,0.767,0.872,0.076,0.538,6.741,579.5,5.52,0.48,0.786,0.0261,0.368,0.498,0.725,5.778,415,0.86,22875,36865
A343,Airbus,A340-300,1991,4,no,1,257000,186000,174000,125242,48758,0.677,0.487,0.19,361.6,60.3,5.64,0.017,0.8686,10.06,7.384,0.987,0.765,0.871,0.075,0.548,6.483,579.5,5.52,0.48,0.786,0.0273,0.363,0.498,0.725,5.891,415,0.86,22875,36865
A345,Airbus,A340-500,2002,4,no,1,372000,243000,230000,170370,59630,0.618,0.458,0.16,437.3,63.45,5.64,0.016,0.8563,9.21,6.731,0.985,0.762,0.874,0.078,0.512,6.994,1036.4,8.79,0.92,0.796,0.0245,0.374,0.479,0.74,5.022,414.5,0.86,22875,36865
A346,Airbus,A340-600,2001,4,no,1,368000,259000,245000,176364,68636,0.666,0.479,0.187,437.3,63.45,5.64,0.016,0.8563,9.21,7.057,0.991,0.759,0.873,0.077,0.523,7.091,1050.8,8.96,0.92,0.796,0.0258,0.39,0.479,0.74,5.103,415,0.86,22875,36865
A359,Airbus,A350-900,2013,2,no,9,275000,207000,195700,146600,49100,0.712,0.533,0.179,445,64.75,5.96,0.017,0.848,9.42,6.14,0.962,0.791,0.874,0.078,0.493,8.601,758,5.64,0.58,0.82,0.0225,0.428,0.445,0.764,6.119,431,0.89,24441,36319
A35K,Airbus,A350-1000,2016,2,yes,2,319000,236000,223000,155000,67300,0.699,0.486,0.211,465.0,64.75,5.96,0.017,0.8480,9.02,6.183,0.967,0.789,0.874,0.078,0.500,8.074,873,7.01,0.65,0.820,0.0223,0.396,0.467,0.749,6.170,414.5,0.89,24441,36319
A388,Airbus,A380-800,2005,4,no,2,569000,391000,366000,275000,91000,0.643,0.483,0.16,845,79.8,7.142,0.016,0.866,7.54,6.132,0.967,0.794,0.876,0.082,0.446,7.478,1350.7,10.57,1.07,0.82,0.0216,0.398,0.47,0.747,5.981,431,0.89,24441,36319
B712,Boeing,B717-200,1998,2,no,HGW,54884,49898,45586,31071,14515,0.831,0.566,0.264,92.75,28.4,3.4,0.029,0.9063,8.7,8.722,1.02,0.692,0.867,0.072,0.579,4.569,179,1.82,0.2,0.7,0.0365,0.349,0.545,0.675,5.626,371,0.82,20883,37618
B732,Boeing,B737-200,1967,2,no,5,52390,46720,43092,27125,15967,0.823,0.518,0.305,99,28.35,3.76,0.035,0.9063,8.12,8.406,1.04,0.678,0.867,0.073,0.556,3.424,137.1,2.3,0.28,0.7,0.0358,0.276,0.627,0.557,4.631,370,0.82,20883,37618
B733,Boeing,B737-300,1984,2,no,3,61236,51710,48308,32904,15404,0.789,0.537,0.252,102,28.9,3.76,0.034,0.9063,8.19,9.2,1.024,0.715,0.867,0.072,0.578,3.942,187.3,2.01,0.23,0.729,0.0384,0.311,0.534,0.688,5.642,390,0.82,20883,37618
B734,Boeing,B737-400,1988,2,no,6,68039,56246,53070,33643,19427,0.78,0.494,0.286,102.5,28.9,3.76,0.034,0.9063,8.15,8.898,1.017,0.718,0.868,0.073,0.565,4.129,190.1,2.05,0.24,0.729,0.0365,0.316,0.534,0.688,5.65,370,0.82,20883,37618
B735,Boeing,B737-500,1989,2,no,3,60555,49895,46494,31312,15182,0.768,0.517,0.251,103.7,28.9,3.76,0.034,0.9063,8.05,8.335,1.009,0.721,0.87,0.074,0.55,4.109,187.3,2.01,0.23,0.729,0.0346,0.306,0.534,0.688,5.621,370,0.82,20883,37618
B736,Boeing,B737-600,1997,2,no,3,65544,55112,51936,36378,15558,0.792,0.555,0.237,124.6,34.3,3.76,0.024,0.9063,9.44,7.425,0.994,0.759,0.871,0.075,0.564,5.03,190,1.88,0.2,0.758,0.031,0.32,0.527,0.695,6.209,410,0.82,20883,37618
B737,Boeing,B737-700,1997,2,no,3,70080,58604,55202,37648,17554,0.788,0.537,0.25,124.6,34.3,3.76,0.024,0.9063,9.44,7.611,0.997,0.758,0.871,0.075,0.567,5.086,214.1,2.18,0.21,0.758,0.0315,0.327,0.531,0.691,5.936,410,0.82,20883,37618
B738,Boeing,B737-800,1997,2,no,3,79016,66361,61689,41413,20276,0.781,0.524,0.257,124.6,34.3,3.76,0.024,0.9063,9.44,8.182,1.005,0.754,0.87,0.074,0.581,4.999,233.4,2.43,0.22,0.758,0.0335,0.334,0.533,0.688,5.86,410,0.82,20883,37618
B739,Boeing,B737-900ER,2006,2,no,2,85139,71350,67721,44676,23045,0.795,0.525,0.271,124.6,34.32,3.76,0.024,0.9063,9.45,7.928,1,0.756,0.87,0.075,0.571,5.022,233.4,2.43,0.22,0.758,0.032,0.326,0.533,0.688,5.947,410,0.82,20883,37618
B37M,Boeing,B737 MAX 7,2018,2,yes,,80285,66043,62913,42033,20880,0.784,0.524,0.260,121.9,33.26,3.76,0.026,0.9063,9.08,7.585,0.976,0.779,0.872,0.076,0.573,6.239,248,2.00,0.19,0.763,0.0305,0.376,0.458,0.755,6.281,410.0,0.82,20883,37618
B38M,Boeing,B737 MAX 8,2016,2,yes,,82644,69308,65952,45072,20880,0.798,0.545,0.253,121.9,33.26,3.76,0.026,0.9063,9.08,7.869,0.979,0.777,0.872,0.075,0.581,6.153,248,2.00,0.19,0.763,0.0316,0.379,0.458,0.755,6.253,410.0,0.82,20883,37618
B39M,Boeing,B737 MAX 9,2017,2,yes,,88314,74343,70987,50107,20880,0.804,0.567,0.236,121.9,33.26,3.76,0.026,0.9063,9.08,8.058,0.994,0.769,0.872,0.076,0.599,6.184,248,2.00,0.19,0.763,0.0331,0.387,0.458,0.755,6.234,410.0,0.82,20883,37618
B742,Boeing,B747-200B,1971,4,no,4,371900,285700,238780,175970,62810,0.642,0.473,0.169,511,59.64,6.5,0.024,0.7934,6.96,7.019,1.038,0.692,0.868,0.074,0.458,5.305,882.3,9.11,0.9,0.81,0.0259,0.336,0.541,0.679,4.622,450,0.9,24977,36141
